,index,File,Term,Total words,Trivial words,entities,wordchunk,AvgDepth,AvgLen,cet4,cet6,toefl,GRE,score
0,0,AbrahamLincoln,1,4027,3162,40,586,6.157894736842105,30.278195488721803,2646,52,104,0,5495703
1,1,AbrahamLincoln,2,782,557,10,121,5.730769230769231,30.076923076923077,497,11,18,0,1316541
2,2,AndrewJackson,1,1215,803,12,252,8.615384615384615,46.73076923076923,828,17,48,0,2775294
3,3,AndrewJackson,2,1276,910,12,255,8.258064516129032,41.16129032258065,852,11,34,0,2248573
4,4,BarackObama,1,2709,1955,40,478,5.285714285714286,22.764705882352942,1756,18,35,0,4379315
5,5,BarackObama,2,2362,1713,33,427,5.946236559139785,25.397849462365592,1552,21,42,0,3756031
6,6,BenjaminHarrison,1,4748,3597,50,863,6.917721518987341,30.050632911392405,3161,49,120,0,8689641
7,7,CalvinCoolidge,1,4442,3418,28,738,5.739795918367347,22.663265306122447,2929,55,100,0,6819082
8,8,DonaldJTrump,1,1708,1275,25,285,3.9292929292929295,17.252525252525253,1033,7,19,0,2265206
9,9,DwightDEisenhower,1,2763,2025,38,543,5.446153846153846,21.253846153846155,1809,38,61,0,5115561
10,10,DwightDEisenhower,2,1903,1423,20,332,5.1063829787234045,20.24468085106383,1227,15,27,0,2321255
11,11,FranklinDRoosevelt,1,2074,1472,13,407,5.943181818181818,23.568181818181817,1390,14,40,0,4014073
12,12,FranklinDRoosevelt,2,2016,1457,30,367,5.774193548387097,21.677419354838708,1322,7,38,0,3234599
13,13,FranklinDRoosevelt,3,1548,1163,34,246,5.136986301369863,21.205479452054796,966,9,27,0,2218516
14,14,FranklinDRoosevelt,4,634,449,15,126,5.592592592592593,23.48148148148148,422,4,7,0,671333
15,15,FranklinPierce,1,3657,2680,29,661,7.269230769230769,35.16346153846154,2421,42,113,0,6977552
16,16,GeorgeBush,1,2685,2080,42,405,4.583892617449664,18.02013422818792,1624,12,32,0,2986641
17,19,GeorgeWBush,1,1820,1344,28,330,4.56701030927835,18.762886597938145,1132,16,40,0,2360770
18,20,GeorgeWBush,2,2328,1711,42,445,5.563106796116505,22.601941747572816,1503,16,38,0,3106837
19,17,GeorgeWashington,1,1542,1062,11,281,9.32,61.68,1051,15,58,0,3078422
20,18,GeorgeWashington,2,148,93,2,31,7.0,24.666666666666668,97,4,2,0,220733
21,21,GroverCleveland,I,1826,1284,20,375,8.386363636363637,41.5,1236,27,54,0,3657223
