,index,File,Term,Party,Words,date
0,18,AbrahamLincoln,1,Republican,3637,3/4/1861
1,19,AbrahamLincoln,2,Republican,700,3/4/1865
2,10,AndrewJackson,1,Democratic,1128,3/4/1829
3,11,AndrewJackson,2,Democratic,1176,3/4/1833
4,55,BarackObama,1,Democratic,2395,1/20/2009
5,56,BarackObama,2,Democratic,2096,1/21/2013
6,25,BenjaminHarrison,1,Republican,4392,3/4/1889
7,34,CalvinCoolidge,1,Republican,4055,8/3/1923
8,57,DonaldJTrump,1,Republican,TBD,1/20/2017
9,41,DwightDEisenhower,1,Republican,2459,1/20/1953
10,42,DwightDEisenhower,2,Republican,1658,1/21/1957
11,36,FranklinDRoosevelt,1,Democratic,1880,3/4/1933
12,37,FranklinDRoosevelt,2,Democratic,1808,1/20/1937
13,38,FranklinDRoosevelt,3,Democratic,1359,1/20/1941
14,39,FranklinDRoosevelt,4,Democratic,559,1/20/1945
15,16,FranklinPierce,1,Democratic,3336,3/4/1853
16,50,GeorgeBush,1,Republican,2320,1/20/1989
17,53,GeorgeWBush,1,Republican,1592,1/20/2001
18,54,GeorgeWBush,2,Republican,2071,1/20/2005
19,0,GeorgeWashington,1,,1431,4/30/1789
20,1,GeorgeWashington,2,,135,3/4/1793
21,24,GroverCleveland-I,1,Democratic,1686,3/4/1885
22,26,GroverCleveland-II,2,Democratic,2015,3/4/1893
23,40,HarrySTruman,1,Democratic,2273,4/12/1945
24,35,HerbertHoover,1,Republican,3672,3/4/1929
25,17,JamesBuchanan,1,Democratic,2831,3/4/1857
26,23,JamesGarfield,1,Republican,2979,3/4/1881
27,14,JamesKPolk,1,Democratic,4809,3/4/1845
28,5,JamesMadison,1,Democratic-Republican Party,1177,3/4/1809
29,6,JamesMadison,2,Democratic-Republican Party,1211,3/4/1813
30,7,JamesMonroe,1,Democratic-Republican Party,3375,3/4/1817
31,8,JamesMonroe,2,Democratic-Republican Party,4472,3/5/1821
32,47,JimmyCarter,1,Democratic,1229,1/20/1977
33,2,JohnAdams,1,Fedralist,2321,3/4/1797
34,43,JohnFKennedy,1,Democratic,1366,1/20/1961
35,9,JohnQuincyAdams,1,Democratic-Republican Party,2915,3/4/1825
36,44,LyndonBJohnson,1,Democratic,1507,11/22/1963
37,12,MartinvanBuren,1,Democratic,3843,3/4/1837
38,45,RichardNixon,1,Republican,2128,1/20/1969
39,46,RichardNixon,2,Republican,1803,1/20/1973
40,48,RonaldReagan,1,Republican,2427,1/20/1981
41,49,RonaldReagan,2,Republican,2561,1/21/1985
42,22,RutherfordBHayes,1,Republican,2486,3/5/1877
43,29,TheodoreRoosevelt,1,Republican,984,9/14/1901
44,3,ThomasJefferson,1,Democratic-Republican Party,1730,3/4/1801
45,4,ThomasJefferson,2,Democratic-Republican Party,2166,3/4/1805
46,20,UlyssesSGrant,1,Republican,1127,3/4/1869
47,21,UlyssesSGrant,2,Republican,1339,3/4/1873
48,33,WarrenGHarding,1,Republican,3329,3/4/1921
49,13,WilliamHenryHarrison,1,Whig,8460,3/4/1841
50,30,WilliamHowardTaft,1,Republican,5434,3/4/1909
51,51,WilliamJClinton,1,Democratic,1598,1/20/1993
52,52,WilliamJClinton,2,Democratic,2155,1/20/1997
53,27,WilliamMcKinley,1,Republican,3968,3/4/1897
54,28,WilliamMcKinley,2,Republican,2218,3/4/1901
55,31,WoodrowWilson,1,Democratic,1704,3/4/1913
56,32,WoodrowWilson,2,Democratic,1526,3/5/1917
57,15,ZacharyTaylor,1,Whig,1090,3/5/1849
